Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att_2,Launch%_2,AvgLen_2,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Alisson,br BRA,GK,Criciúma,28-344,1995,2.0,2,0,0,0,0,2.3,0.23,+0.3,+0.16,9,23,39.1,35,11,37.1,32.1,21,47.6,39.3,40,1,2.5,1,0.50,11.1,Matches
2,Anderson,br BRA,GK,Cruzeiro,26-073,1998,5.0,7,0,0,2,1,6.5,0.36,+0.5,+0.10,13,30,43.3,93,28,22.6,29.0,24,37.5,34.0,63,6,9.5,6,1.20,12.8,Matches
3,Lucas Arcanjo,br BRA,GK,Vitória,25-283,1998,5.0,11,0,0,2,0,8.7,0.28,-2.3,-0.46,8,49,16.3,85,19,37.6,33.0,39,43.6,40.3,85,2,2.4,5,1.00,15.2,Matches
4,Bento,br BRA,GK,Ath Paranaense,24-342,1999,6.0,3,0,0,0,0,5.2,0.22,+2.2,+0.37,40,75,53.3,103,15,38.8,34.4,41,85.4,58.0,76,4,5.3,1,0.17,10.4,Matches
5,Rafael Cabral,br BRA,GK,Grêmio,33-363,1990,1.0,1,0,0,0,0,2.3,0.57,+1.3,+1.28,5,10,50.0,13,5,46.2,35.5,8,50.0,38.0,15,2,13.3,0,0.00,8.5,Matches
6,Cássio,br BRA,GK,Corinthians,36-346,1987,3.0,3,0,0,0,0,3.2,0.23,+0.2,+0.06,11,25,44.0,68,16,26.5,31.6,19,36.8,38.0,29,2,6.9,1,0.33,12.6,Matches
7,Éverson,br BRA,GK,Atlético Mineiro,33-300,1990,5.0,3,0,0,0,0,2.8,0.26,-0.2,-0.04,21,40,52.5,142,14,23.2,30.1,22,31.8,31.5,52,2,3.8,6,1.20,16.1,Matches
8,Fábio,br BRA,GK,Fluminense,43-230,1980,6.0,12,0,0,2,0,12.5,0.32,+0.5,+0.08,10,29,34.5,135,31,20.0,26.1,39,5.1,8.4,95,4,4.2,7,1.17,13.0,Matches
9,Marcos Felipe,br BRA,GK,Bahia,28-034,1996,6.0,6,0,0,2,0,6.1,0.20,+0.1,+0.01,33,76,43.4,203,34,30.0,30.8,28,53.6,37.4,82,5,6.1,7,1.17,16.5,Matches
10,Gatito Fernández,py PAR,GK,Botafogo (RJ),36-049,1988,3.0,4,0,0,1,0,3.9,0.43,-0.1,-0.03,18,35,51.4,77,9,29.9,32.5,18,66.7,47.9,54,2,3.7,3,1.00,11.0,Matches
11,Gabriel,br BRA,GK,Juventude,31-233,1992,4.0,7,1,1,1,0,6.1,0.30,-0.9,-0.22,9,24,37.5,102,19,19.6,28.1,28,14.3,26.4,59,7,11.9,4,1.00,12.4,Matches
12,Gustavo,br BRA,GK,Criciúma,31-068,1993,1.0,0,0,0,0,0,1.7,0.15,+1.7,+1.73,4,6,66.7,16,3,31.3,33.5,13,7.7,16.2,19,0,0.0,0,0.00,3.0,Matches
13,Léo Jardim,br BRA,GK,Vasco da Gama,29-058,1995,6.0,11,0,0,2,0,14.3,0.39,+3.3,+0.55,19,38,50.0,106,27,28.3,30.7,45,17.8,26.8,80,3,3.8,1,0.17,12.2,Matches
14,John,br BRA,GK,Botafogo (RJ),28-094,1996,3.0,3,1,0,0,0,3.0,0.29,0.0,+0.01,14,35,40.0,104,8,21.2,28.5,26,50.0,41.1,43,1,2.3,5,1.67,17.0,Matches
15,Lucão,br BRA,GK,Red Bull Bragantino,23-081,2001,1.5,2,0,0,0,0,1.9,0.21,-0.1,-0.09,5,20,25.0,29,4,41.4,37.9,15,53.3,41.2,47,1,2.1,3,2.00,13.9,Matches
16,Agustín Marchesín,ar ARG,GK,Grêmio,36-062,1988,3.0,2,0,0,2,0,2.5,0.42,+0.5,+0.18,14,37,37.8,65,9,43.1,37.1,18,50.0,43.2,43,4,9.3,0,0.00,6.9,Matches
17,Carlos Miguel,br BRA,GK,Corinthians,25-221,1998,3.0,2,0,0,0,0,2.4,0.19,+0.4,+0.14,12,23,52.2,70,12,18.6,28.6,22,45.5,38.1,46,2,4.3,3,1.00,13.6,Matches
18,Rafael Pires,br BRA,GK,São Paulo,34-329,1989,6.0,6,0,0,1,1,5.0,0.34,0.0,0.00,20,45,44.4,125,16,25.6,30.4,24,54.2,42.0,64,4,6.3,2,0.33,13.6,Matches
19,João Ricardo Riedi,br BRA,GK,Fortaleza,35-254,1988,5.0,4,0,0,2,0,7.6,0.29,+3.6,+0.72,19,64,29.7,84,18,50.0,39.8,39,56.4,44.4,79,1,1.3,1,0.20,10.4,Matches
20,Sergio Rochet,uy URU,GK,Internacional,31-055,1993,4.0,3,0,0,0,0,2.4,0.20,-0.6,-0.14,16,48,33.3,78,10,41.0,34.3,30,53.3,41.6,56,3,5.4,10,2.50,17.1,Matches
21,Ronaldo,br BRA,GK,Atl Goianiense,27-269,1996,5.0,8,2,1,0,0,7.2,0.25,-0.8,-0.16,42,80,52.5,103,18,50.5,39.0,39,71.8,48.3,82,5,6.1,4,0.80,12.7,Matches
22,Agustín Rossi,ar ARG,GK,Flamengo,28-270,1995,6.0,5,0,0,2,0,4.7,0.28,-0.3,-0.04,32,88,36.4,210,32,33.3,33.1,34,52.9,40.7,81,11,13.6,5,0.83,12.8,Matches
23,Cleiton Schwengber,br BRA,GK,Red Bull Bragantino,26-272,1997,4.5,4,0,0,1,0,6.3,0.28,+2.3,+0.51,30,78,38.5,122,17,50.8,39.1,34,47.1,38.1,77,6,7.8,10,2.22,14.8,Matches
24,Walter,br BRA,GK,Cuiabá,36-181,1987,4.0,10,2,1,1,0,9.9,0.33,-0.1,-0.03,20,45,44.4,98,15,32.7,33.1,27,48.1,40.0,65,2,3.1,2,0.50,13.1,Matches
25,Wéverton,br BRA,GK,Palmeiras,36-156,1987,6.0,3,0,1,0,1,5.3,0.29,+3.3,+0.55,25,84,29.8,184,32,39.1,35.9,34,35.3,37.7,62,8,12.9,4,0.67,12.7,Matches
